"rnames","pvalue","odds.ratio","cluster"
"Deletion_11q22.3",1.06828854512819e-06,8.54202842582231,2
"Amplification_15q21.2",0.000255708026923811,4.93613483218135,2
"Amplification_14q32.33",0.000255708026923811,4.93613483218135,2
"Deletion_9p21.3",0.0012860428459703,0,2
"ATM",0.00140389002891313,3.68072850391044,2
"Deletion_9p21.1",0.00236675344063473,0,2
"Deletion_13q14.2",0.00972729419719264,2.97795293762488,2
"Deletion_6q25.3",0.00992787999089103,0.113960625401771,2
"CCND1",0.0119274881383172,3.90097611294886,2
"ANK2",0.0121442222123714,6.84336381577359,2
"Amplification-3q22.1-3q22.3",0.0235485501940018,0.335468295796994,2
"Deletion_6q21",0.0266355755969031,0.213552102557354,2
"Deletion_TP53",0.0686741738627425,0.246834692983017,2
"KMT2C",0.0703692956007624,0,2
"TP53",0.0766586664004701,0.17837600067478,2
